id_region,nombre_region,region_pais,pais,pbi_2022
4,ÁFRICA  SUBSAHARIANA,4,AGO,3000.44423053173
3,ASIA,3,ARE,53707.9800809111
0,AMÉRICA  DEL  SUR,0,ARG,13650.6046294524
3,ASIA,3,ARM,7018.05150434798
5,OCEANÍA,5,AUS,65099.8459118981
2,EUROPA  OCCIDENTAL,2,AUT,52084.6811953372
3,ASIA,3,AZE,7762.0738285884
2,EUROPA  OCCIDENTAL,2,BEL,49926.8254295305
3,ASIA,3,BGD,2688.30550090738
8,EUROPA  CENTRAL  Y  ORIENTAL,8,BGR,13974.4492487792
0,AMÉRICA  DEL  SUR,0,BOL,3600.12163486427
0,AMÉRICA  DEL  SUR,0,BRA,8917.67491057495
7,AMÉRICA  CENTRAL  Y  CARIBE,7,BRB,20238.7842420154
1,AMÉRICA  DEL  NORTE,1,CAN,54917.6625226262
2,EUROPA  OCCIDENTAL,2,CHE,93259.9057183024
0,AMÉRICA  DEL  SUR,0,CHL,15355.4797401048
3,ASIA,3,CHN,12720.2163182363
0,AMÉRICA  DEL  SUR,0,COL,6624.16539269075
7,AMÉRICA  CENTRAL  Y  CARIBE,7,CRI,13365.3563992692
7,AMÉRICA  CENTRAL  Y  CARIBE,7,CUB,56495.8534866201
8,EUROPA  CENTRAL  Y  ORIENTAL,8,CZE,27223.0451937676
2,EUROPA  OCCIDENTAL,2,DEU,48717.9911402128
2,EUROPA  OCCIDENTAL,2,DNK,67790.0539923276
7,AMÉRICA  CENTRAL  Y  CARIBE,7,DOM,10111.2457110261
6,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE,6,DZA,4342.63796796522
0,AMÉRICA  DEL  SUR,0,ECU,6391.28248430643
6,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE,6,EGY,4295.40749561014
2,EUROPA  OCCIDENTAL,2,ESP,29674.5442864413
4,ÁFRICA  SUBSAHARIANA,4,ETH,1027.58591095964
2,EUROPA  OCCIDENTAL,2,FIN,50916.2804653208
2,EUROPA  OCCIDENTAL,2,FRA,40886.2532680273
2,EUROPA  OCCIDENTAL,2,GRC,20867.2690861087
7,AMÉRICA  CENTRAL  Y  CARIBE,7,GTM,5473.20856444589
7,AMÉRICA  CENTRAL  Y  CARIBE,7,GUY,18199.4748396968
7,AMÉRICA  CENTRAL  Y  CARIBE,7,HND,3040.17304596842
7,AMÉRICA  CENTRAL  Y  CARIBE,7,HTI,1748.25713229469
8,EUROPA  CENTRAL  Y  ORIENTAL,8,HUN,18390.1849993244
3,ASIA,3,IDN,4787.99930771921
3,ASIA,3,IND,2410.88802070689
2,EUROPA  OCCIDENTAL,2,IRL,103983.29133582
3,ASIA,3,IRN,4669.57137993878
3,ASIA,3,ISR,54930.9388075096
2,EUROPA  OCCIDENTAL,2,ITA,34776.423234274
7,AMÉRICA  CENTRAL  Y  CARIBE,7,JAM,6047.2164567796
3,ASIA,3,JPN,33823.5707344332
4,ÁFRICA  SUBSAHARIANA,4,KEN,2099.30193826696
3,ASIA,3,KOR,32422.5744864287
3,ASIA,3,KWT,41079.5226998138
6,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE,6,LBY,6716.09598462328
7,AMÉRICA  CENTRAL  Y  CARIBE,7,LCA,13030.9284804245
6,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE,6,MAR,3441.99145507813
1,AMÉRICA  DEL  NORTE,1,MEX,11496.5228716049
4,ÁFRICA  SUBSAHARIANA,4,MOZ,558.298606448221
3,ASIA,3,MYS,11993.1876132994
4,ÁFRICA  SUBSAHARIANA,4,NGA,2162.63373428577
7,AMÉRICA  CENTRAL  Y  CARIBE,7,NIC,2255.42599496242
2,EUROPA  OCCIDENTAL,2,NLD,57025.01245598
2,EUROPA  OCCIDENTAL,2,NOR,106177.197179078
5,OCEANÍA,5,NZL,48418.5916631992
3,ASIA,3,PAK,1588.8798287911
7,AMÉRICA  CENTRAL  Y  CARIBE,7,PAN,17357.628633794
0,AMÉRICA  DEL  SUR,0,PER,7125.82993135746
3,ASIA,3,PHL,3498.5098055874
8,EUROPA  CENTRAL  Y  ORIENTAL,8,POL,18688.0044867103
2,EUROPA  OCCIDENTAL,2,PRT,24515.2658507319
0,AMÉRICA  DEL  SUR,0,PRY,6153.05565720044
3,ASIA,3,PSE,3789.32796575153
3,ASIA,3,QAT,87661.4501457275
8,EUROPA  CENTRAL  Y  ORIENTAL,8,ROU,15786.8017421977
8,EUROPA  CENTRAL  Y  ORIENTAL,8,RUS,15270.7060546875
3,ASIA,3,SAU,30447.8837074473
4,ÁFRICA  SUBSAHARIANA,4,SEN,1598.72643336012
3,ASIA,3,SGP,82807.6290622897
7,AMÉRICA  CENTRAL  Y  CARIBE,7,SLV,5127.32166823012
8,EUROPA  CENTRAL  Y  ORIENTAL,8,SRB,9537.68286673128
0,AMÉRICA  DEL  SUR,0,SUR,5858.82466074423
2,EUROPA  OCCIDENTAL,2,SWE,56373.7885792007
3,ASIA,3,THA,6909.9562847948
7,AMÉRICA  CENTRAL  Y  CARIBE,7,TTO,19629.4653400829
6,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE,6,TUN,3747.41939149283
2,EUROPA  OCCIDENTAL,2,TUR,10674.5041731531
8,EUROPA  CENTRAL  Y  ORIENTAL,8,UKR,4533.9755859375
0,AMÉRICA  DEL  SUR,0,URY,20795.0423535553
1,AMÉRICA  DEL  NORTE,1,USA,76329.5822652029
3,ASIA,3,VNM,4163.51429874522
4,ÁFRICA  SUBSAHARIANA,4,ZAF,6766.48125429478
