nombre,pbi_2022,cant_sedes_pais,secciones
REPÚBLICA  DEL  PARAGUAY,6153.05565720044,4,0.0
REINO  DE  ARABIA  SAUDITA,30447.8837074473,1,0.0
REPÚBLICA  DE  BULGARIA,13974.4492487792,1,0.0
REPÚBLICA  COOPERATIVA  DE  GUYANA,18199.4748396968,1,0.0
SANTA  LUCÍA,13030.9284804245,1,0.0
ESTADO  DE  PALESTINA,3789.32796575153,1,0.0
REPÚBLICA  ARGENTINA,13650.6046294524,1,0.0
REPÚBLICA  POPULAR  DE  BANGLADESH,2688.30550090738,1,0.0
REPÚBLICA  DE  SENEGAL,1598.72643336012,1,0.0
REPÚBLICA  ISLÁMICA  DE  IRÁN,4669.57137993878,1,1.0
REPÚBLICA  DE  NICARAGUA,2255.42599496242,1,1.0
REPÚBLICA  DE  TRINIDAD  Y  TOBAGO,19629.4653400829,1,1.0
ESTADO  DE  LIBIA,6716.09598462328,1,2.0
REPÚBLICA  DE  COSTA  RICA,13365.3563992692,1,2.0
RUMANIA,15786.8017421977,1,2.0
REPÚBLICA  DE  FINLANDIA,50916.2804653208,1,2.0
REPÚBLICA  ISLÁMICA  DE  PAKISTÁN,1588.8798287911,1,2.0
REPÚBLICA  DOMINICANA,10111.2457110261,1,3.0
JAMAICA,6047.2164567796,1,3.0
REINO  DE  NORUEGA,106177.197179078,1,3.0
REPÚBLICA  DE  POLONIA,18688.0044867103,1,3.0
MALASIA,11993.1876132994,1,3.0
REPÚBLICA  DE  ARMENIA,7018.05150434798,1,3.0
EMIRATOS  ÁRABES  UNIDOS,53707.9800809111,1,3.0
REPÚBLICA  DE  GUATEMALA,5473.20856444589,1,3.0
NUEVA  ZELANDIA,48418.5916631992,1,3.0
REPÚBLICA  ORIENTAL  DEL  URUGUAY,20795.0423535553,8,4.0
REPÚBLICA  DE  FILIPINAS,3498.5098055874,1,4.0
REPÚBLICA  HELÉNICA,20867.2690861087,1,4.0
REPÚBLICA  DE  SERBIA,9537.68286673128,1,4.0
REINO  DE  SUECIA,56373.7885792007,1,4.0
UCRANIA,4533.9755859375,1,4.0
REPÚBLICA  DE  HONDURAS,3040.17304596842,1,4.0
REPÚBLICA  DE  TÜRKIYE,10674.5041731531,2,4.0
REPÚBLICA  DE  SUDÁFRICA,6766.48125429478,2,4.0
REINO  DE  DINAMARCA,67790.0539923276,1,4.0
REPÚBLICA  DEMOCRÁTICA  FEDERAL  DE  ETIOPÍA,1027.58591095964,1,4.0
IRLANDA,103983.29133582,1,4.0
REINO  DE  LOS  PAÍSES  BAJOS,57025.01245598,1,4.0
REPÚBLICA  DE  PANAMÁ,17357.628633794,1,4.0
REPÚBLICA  DE  SINGAPUR,82807.6290622897,1,4.0
REPÚBLICA  SOCIALISTA  DE  VIETNAM,4163.51429874522,1,4.0
ESTADO  DE  ISRAEL,54930.9388075096,2,5.0
ESTADO  DE  KUWAIT,41079.5226998138,1,5.0
REINO  DE  MARRUECOS,3441.99145507813,1,5.0
REPÚBLICA  PORTUGUESA,24515.2658507319,1,5.0
REPÚBLICA  DE  EL  SALVADOR,5127.32166823012,1,5.0
CONFEDERACIÓN  SUIZA,93259.9057183024,2,5.0
REPÚBLICA  DE  AZERBAIYÁN,7762.0738285884,1,5.0
REPÚBLICA  CHECA,27223.0451937676,1,5.0
REPÚBLICA  DE  COREA,32422.5744864287,1,5.0
REPÚBLICA  DE  CUBA,56495.8534866201,1,5.0
REPÚBLICA  DE  INDONESIA,4787.99930771921,1,5.0
ESTADO  DE  QATAR,87661.4501457275,1,5.0
HUNGRÍA,18390.1849993244,1,5.0
REPÚBLICA  DE  ANGOLA,3000.44423053173,1,6.0
REPÚBLICA  ARGELINA  DEMOCRÁTICA  Y  POPULAR,4342.63796796522,1,6.0
REPÚBLICA  ÁRABE  DE  EGIPTO,4295.40749561014,1,6.0
日本国  (JAPÓN),33823.5707344332,1,6.0
REPÚBLICA  DE  KENYA,2099.30193826696,1,6.0
REPÚBLICA  FEDERAL  DE  NIGERIA,2162.63373428577,1,6.0
REPÚBLICA  DE  SURINAME,5858.82466074423,1,6.0
REINO  DE  TAILANDIA,6909.9562847948,1,6.0
CANADÁ,54917.6625226262,4,7.0
REPÚBLICA  DE  COLOMBIA,6624.16539269075,1,7.0
REPÚBLICA  TUNECINA,3747.41939149283,1,7.0
REPÚBLICA  DE  HAITÍ,1748.25713229469,1,7.0
REPÚBLICA  DE  LA  INDIA,2410.88802070689,2,7.0
REPÚBLICA  DEL  PERÚ,7125.82993135746,2,7.0
BARBADOS,20238.7842420154,1,7.0
AUSTRALIA,65099.8459118981,2,8.0
REPÚBLICA  DE  MOZAMBIQUE,558.298606448221,1,8.0
REPÚBLICA  FRANCESA,40886.2532680273,2,9.0
REPÚBLICA  DEL  ECUADOR,6391.28248430643,2,10.0
ESTADOS  UNIDOS  MEXICANOS,11496.5228716049,3,10.0
REINO  DE  BÉLGICA,49926.8254295305,2,11.0
REPÚBLICA  DE  AUSTRIA,52084.6811953372,1,11.0
REPÚBLICA  ITALIANA,34776.423234274,4,13.0
FEDERACIÓN  DE  RUSIA,15270.7060546875,1,13.0
REPÚBLICA  FEDERAL  DE  ALEMANIA,48717.9911402128,4,14.0
REPÚBLICA  DE  CHILE,15355.4797401048,7,14.0
ESTADO  PLURINACIONAL  DE  BOLIVIA,3600.12163486427,7,16.0
REINO  DE  ESPAÑA,29674.5442864413,7,16.0
REPÚBLICA  POPULAR  DE  CHINA,12720.2163182363,6,17.0
REPÚBLICA  FEDERATIVA  DEL  BRASIL,8917.67491057495,11,18.0
