cod_pais,nombre,sede_id,red,link
BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CALEG,twitter,https://twitter.com/ArgPortoAlegre
BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CALEG,facebook,https://www.facebook.com/ArgentinaEnPortoAlegre/
BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CALEG,instagram,https://www.instagram.com/argenportoalegre/
CHL,REPÚBLICA  DE  CHILE,CANTO,facebook,https://www.facebook.com/Consulado-de-la-Rep%C3%BAblica-Argentina-en-Antofagasta-255728465291743/
CHL,REPÚBLICA  DE  CHILE,CAREN,facebook,https://www.facebook.com/profile.php?id=100014152878593
ESP,REINO  DE  ESPAÑA,CBARC,facebook,https://facebook.com/ArgEnBarcelona
ESP,REINO  DE  ESPAÑA,CBARC,twitter,https://twitter.com/ARGenBarcelona
ESP,REINO  DE  ESPAÑA,CBARC,instagram,https://instagram.com/argenbarcelona
ESP,REINO  DE  ESPAÑA,CBARC,linkedin,https://linkedin.com/company/consulado-y-centro-de-promoci%C3%B3n-de-la-republica-argentina-en-barcelona/mycompany/
BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CBELO,facebook,https://www.facebook.com/ArgentinaEnBeloHorizonte/
BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CBELO,twitter,https://twitter.com/consgralbelo
BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CBELO,instagram,https://www.instagram.com/consgralbelo/
DEU,REPÚBLICA  FEDERAL  DE  ALEMANIA,CBONN,facebook,https://www.facebook.com/ConsuladoArgentinoenBonn
DEU,REPÚBLICA  FEDERAL  DE  ALEMANIA,CBONN,instagram,https://http://www.instagram.com/consulado.argentino.bonn
ESP,REINO  DE  ESPAÑA,CCADI,facebook,https://www.facebook.com/ArgentinaEnCadiz
PRY,REPÚBLICA  DEL  PARAGUAY,CCEST,facebook,https://www.facebook.com/ArgEnCiudaddeleste/
PRY,REPÚBLICA  DEL  PARAGUAY,CCEST,instagram,https://www.instagram.com/argenciudaddeleste
USA,ESTADOS  UNIDOS  DE  AMÉRICA,CCHIC,twitter,https://twitter.com/argenchicago
USA,ESTADOS  UNIDOS  DE  AMÉRICA,CCHIC,facebook,https://www.facebook.com/ArgentinaEnChicago
USA,ESTADOS  UNIDOS  DE  AMÉRICA,CCHIC,youtube,https://www.youtube.com/channel/UCjZ3a6zTr156aP_zg-1lQfQ/featured
BOL,ESTADO  PLURINACIONAL  DE  BOLIVIA,CCOCH,facebook,https://wwww.facebook.com/ArgentinaEnCochabamba
URY,REPÚBLICA  ORIENTAL  DEL  URUGUAY,CCOLO,facebook,https://www.facebook.com/ArgentinaenColonia
BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CCURI,facebook,https://www.facebook.com/ArgEnCuritiba/
BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CCURI,instagram,https://instagram.com/argEncuritiba
BRA,REPÚBLICA  FEDERATIVA  DEL  BRASIL,CCURI,twitter,https://twitter.com/ARGenCuri
