id,cod_pais,tipo,descripcion,cant_secciones
CALEG,BRA,Consulado,Consulado  General  en  Porto  Alegre,0.0
CANTO,CHL,Consulado,Consulado  en  Antofagasta,0.0
CAREN,CHL,Consulado,Consulado  General  en  Punta  Arenas,0.0
CASUN,PRY,Consulado,Consulado  General  en  Asunción,0.0
CATLA,USA,Consulado,Consulado  General  en  Atlanta,0.0
CBARC,ESP,Consulado  General  y  Centro  de  Promoción ,Consulado  General  y  Centro  de  Promoción  en  Barcelona,6.0
CBEIJ,CHN,Consulado,Sección  Consular  en  Beijing,0.0
CBELO,BRA,Consulado,Consulado  en  Belo  Horizonte,0.0
CBONN,DEU,Consulado,Consulado  en  Bonn,0.0
CCADI,ESP,Consulado,Consulado  en  Cádiz,0.0
CCEST,PRY,Consulado,Consulado  General  en  Ciudad  del  Este,0.0
CCHIC,USA,Consulado,Consulado  General  en  Chicago,2.0
CCOCH,BOL,Consulado,Consulado  en  Cochabamba,0.0
CCOLO,URY,Consulado,Consulado  en  Colonia,0.0
CCONC,CHL,Consulado,Consulado  en  Concepción,0.0
CCURI,BRA,Consulado,Consulado  en  Curitiba,0.0
CENCA,PRY,Consulado,Consulado  General  en  Encarnación,0.0
CFBEN,URY,Consulado,Consulado  en  Fray  Bentos,0.0
CFDIG,BRA,Consulado,Consulado  en  Foz  de  Iguazu,0.0
CFLOR,BRA,Consulado,Consulado  en  Florianopolis,0.0
CFRAN,DEU,Consulado  General  y  Centro  de  Promoción ,Consulado  General  y  Centro  de  Promoción  en  Francfort,4.0
CGEST,TUR,Consulado  General  y  Centro  de  Promoción ,Consulado  General  y  Centro  de  Promoción  en  Estambul,0.0
CGMUM,IND,Consulado  General  y  Centro  de  Promoción ,Consulado  General  y  Centro  de  Promoción  en  Mumbai,3.0
CGPAZ,BOL,Consulado,Consulado  General  en  La  Paz,0.0
CGTEL,ISR,Consulado,Consulado  General  en  Tel  Aviv,2.0
CGUAN,CHN,Consulado,Consulado  General  en  Guangzhou,0.0
CGUAY,ECU,Consulado,Consulado  en  Guayaquil,2.0
CGVAN,CAN,Consulado,Consulado  General  en  Vancouver,0.0
CHAMB,DEU,Consulado,Consulado  General  en  Hamburgo,0.0
CHONG,CHN,Consulado,Consulado  General  en  Hong  Kong,2.0
CHOUS,USA,Consulado,Consulado  General  en  Houston,0.0
CJOHA,ZAF,Consulado,Consulado  General  en  Johannesburgo,0.0
CLANG,USA,Consulado  General  y  Centro  de  Promoción ,Consulado  General  y  Centro  de  Promoción  en  Los  Ángeles,0.0
